road_type,hour,count_date,all_motor_vehicles
motorway,12,2023-06-14,2999.3333333333335
motorway,12,2023-06-15,2434.1666666666665
motorway,12,2023-06-16,4127.4
motorway,12,2023-06-19,1625.75
motorway,12,2023-06-20,2761.25
motorway,12,2023-06-21,3042.3333333333335
motorway,12,2023-06-22,2417.3
motorway,12,2023-06-23,3388.5
motorway,12,2023-06-26,1692.5
motorway,12,2023-06-27,3531.8333333333335
motorway,12,2023-06-28,3056.5
motorway,12,2023-06-30,1997.0
motorway,12,2023-07-03,2939.25
motorway,12,2023-07-04,2824.75
motorway,12,2023-07-05,2530.3571428571427
motorway,12,2023-07-06,3148.0
motorway,12,2023-07-10,3503.6666666666665
motorway,12,2023-07-11,2115.0
motorway,12,2023-07-12,2416.0
motorway,12,2023-07-13,3270.0833333333335
motorway,12,2023-07-14,4160.875
motorway,12,2023-07-18,3111.0
motorway,12,2023-09-06,1802.0
motorway,12,2023-09-08,3796.214285714286
motorway,12,2023-09-11,1514.3333333333333
motorway,12,2023-09-12,2821.3333333333335
motorway,12,2023-09-13,4228.0
motorway,12,2023-09-14,2479.5
motorway,12,2023-09-15,5156.5
motorway,12,2023-09-18,3761.0
motorway,12,2023-09-19,3081.0
motorway,12,2023-09-20,3652.625
motorway,12,2023-09-21,2092.5
motorway,12,2023-09-22,3623.0
motorway,12,2023-09-26,2449.0
motorway,12,2023-09-27,2972.5
motorway,12,2023-09-28,2843.785714285714
motorway,12,2023-09-29,3539.6666666666665
motorway,12,2023-10-03,1858.5
motorway,12,2023-10-06,3477.375
motorway,12,2023-10-09,1875.0
motorway,12,2023-10-10,2009.5
motorway,12,2023-10-11,1687.0
motorway,12,2023-10-12,4046.5
motorway,12,2023-10-17,4307.5
motorway,13,2023-03-15,274.0
motorway,13,2023-03-20,478.5
motorway,13,2023-03-27,2720.0
motorway,13,2023-03-29,2853.6666666666665
motorway,13,2023-04-17,2384.0
motorway,13,2023-04-18,2198.9545454545455
motorway,13,2023-04-19,2567.8333333333335
motorway,13,2023-04-20,2451.4166666666665
motorway,13,2023-04-21,2627.181818181818
motorway,13,2023-04-24,3284.0
motorway,13,2023-04-25,2446.3333333333335
motorway,13,2023-04-26,2419.7
motorway,13,2023-04-27,3045.9285714285716
motorway,13,2023-04-28,2604.0833333333335
motorway,13,2023-05-02,3630.5
motorway,13,2023-05-03,3094.9
motorway,13,2023-05-04,2784.1666666666665
motorway,13,2023-05-05,3243.25
motorway,13,2023-05-09,2046.25
motorway,13,2023-05-10,2172.0
motorway,13,2023-05-11,2891.714285714286
motorway,13,2023-05-15,2829.6666666666665
motorway,13,2023-05-16,2669.75
motorway,13,2023-05-17,2166.9
motorway,13,2023-05-18,2509.6666666666665
motorway,13,2023-05-19,3427.5
motorway,13,2023-05-22,2036.1666666666667
motorway,13,2023-05-23,3030.75
motorway,13,2023-05-24,3020.8333333333335
motorway,13,2023-05-25,3916.25
motorway,13,2023-05-26,4318.083333333333
motorway,13,2023-06-05,2913.1428571428573
motorway,13,2023-06-06,2876.0
motorway,13,2023-06-07,3133.0
motorway,13,2023-06-09,4429.0
motorway,13,2023-06-12,3292.1666666666665
motorway,13,2023-06-13,3934.0
motorway,13,2023-06-14,3086.5833333333335
motorway,13,2023-06-15,2489.5
motorway,13,2023-06-16,4367.5
motorway,13,2023-06-19,1670.25
motorway,13,2023-06-20,2805.75
motorway,13,2023-06-21,3132.5
motorway,13,2023-06-22,2454.1
motorway,13,2023-06-23,3391.5
motorway,13,2023-06-26,1865.75
motorway,13,2023-06-27,3722.25
motorway,13,2023-06-28,2939.0
motorway,13,2023-06-30,1977.0
motorway,13,2023-07-03,3104.0
motorway,13,2023-07-04,2849.375
motorway,13,2023-07-05,2574.4285714285716
motorway,13,2023-07-06,3393.5
motorway,13,2023-07-10,3530.3333333333335
motorway,13,2023-07-11,2213.5
motorway,13,2023-07-12,2356.9
motorway,13,2023-07-13,3590.9166666666665
motorway,13,2023-07-14,4421.625
motorway,13,2023-07-18,3252.5
motorway,13,2023-09-06,1891.75
motorway,13,2023-09-08,3767.5714285714284
motorway,13,2023-09-11,1469.8333333333333
motorway,13,2023-09-12,2927.8333333333335
motorway,13,2023-09-13,4409.5
motorway,13,2023-09-14,2678.5
motorway,13,2023-09-15,5577.0
motorway,13,2023-09-18,3733.75
motorway,13,2023-09-19,3276.0
motorway,13,2023-09-20,3735.5
motorway,13,2023-09-21,2185.75
motorway,13,2023-09-22,3515.8333333333335
motorway,13,2023-09-26,2577.5
motorway,13,2023-09-27,3030.0
motorway,13,2023-09-28,2999.4285714285716
motorway,13,2023-09-29,3591.25
motorway,13,2023-10-03,1825.0
motorway,13,2023-10-06,3540.375
motorway,13,2023-10-09,1826.0
motorway,13,2023-10-10,2082.0
motorway,13,2023-10-11,1787.0
motorway,13,2023-10-12,3998.0
motorway,13,2023-10-17,4258.5
motorway,14,2023-03-15,446.0
motorway,14,2023-03-20,491.5
motorway,14,2023-03-27,2838.0
motorway,14,2023-03-29,3140.8
motorway,14,2023-04-17,2431.5
motorway,14,2023-04-18,2401.409090909091
motorway,14,2023-04-19,2882.0
motorway,14,2023-04-20,2640.75
motorway,14,2023-04-21,2778.090909090909
motorway,14,2023-04-24,3433.75
motorway,14,2023-04-25,2642.8333333333335
motorway,14,2023-04-26,2658.5
motorway,14,2023-04-27,3358.714285714286
motorway,14,2023-04-28,2747.0833333333335
motorway,14,2023-05-02,3811.0
motorway,14,2023-05-03,3390.5
motorway,14,2023-05-04,3041.6666666666665
motorway,14,2023-05-05,3435.75
motorway,14,2023-05-09,2168.0
motorway,14,2023-05-10,2312.4
motorway,14,2023-05-11,3045.5714285714284
motorway,14,2023-05-15,2977.0
motorway,14,2023-05-16,2981.25
motorway,14,2023-05-17,2398.6
motorway,14,2023-05-18,2736.8333333333335
motorway,14,2023-05-19,3927.3333333333335
motorway,14,2023-05-22,2130.6666666666665
motorway,14,2023-05-23,3481.75
motorway,14,2023-05-24,3194.5
motorway,14,2023-05-25,4144.75
motorway,14,2023-05-26,4285.583333333333
motorway,14,2023-06-05,3064.714285714286
motorway,14,2023-06-06,2987.75
motorway,14,2023-06-07,3254.1111111111113
motorway,14,2023-06-09,4303.625
motorway,14,2023-06-12,3474.3333333333335
motorway,14,2023-06-13,4679.5
motorway,14,2023-06-14,3387.0
motorway,14,2023-06-15,2708.8333333333335
motorway,14,2023-06-16,4484.1
motorway,14,2023-06-19,1874.25
motorway,14,2023-06-20,2842.0
motorway,14,2023-06-21,3309.5
motorway,14,2023-06-22,2654.0
motorway,14,2023-06-23,3537.75
motorway,14,2023-06-26,2029.25
motorway,14,2023-06-27,3899.4166666666665
motorway,14,2023-06-28,3172.25
motorway,14,2023-06-30,2007.0
motorway,14,2023-07-03,3184.0
motorway,14,2023-07-04,3078.625
motorway,14,2023-07-05,2771.285714285714
motorway,14,2023-07-06,3528.25
motorway,14,2023-07-10,3715.0
motorway,14,2023-07-11,2250.0
motorway,14,2023-07-12,2562.4
motorway,14,2023-07-13,3581.5
motorway,14,2023-07-14,4586.5
motorway,14,2023-07-18,3605.0
motorway,14,2023-09-06,2145.75
motorway,14,2023-09-08,3842.5
motorway,14,2023-09-11,1615.3333333333333
motorway,14,2023-09-12,3333.8333333333335
motorway,14,2023-09-13,4796.5
motorway,14,2023-09-14,2859.0
motorway,14,2023-09-15,5440.5
motorway,14,2023-09-18,4281.0
motorway,14,2023-09-19,3507.0
motorway,14,2023-09-20,3858.625
motorway,14,2023-09-21,2292.5
motorway,14,2023-09-22,3651.0
motorway,14,2023-09-26,2767.0
motorway,14,2023-09-27,3114.0
motorway,14,2023-09-28,3181.285714285714
motorway,14,2023-09-29,3705.0833333333335
motorway,14,2023-10-03,2180.0
motorway,14,2023-10-06,3627.25
motorway,14,2023-10-09,2031.5
motorway,14,2023-10-10,2271.5
motorway,14,2023-10-11,2124.5
motorway,14,2023-10-12,4145.5
motorway,14,2023-10-17,4493.0
motorway,15,2023-03-15,722.0
motorway,15,2023-03-20,602.0
motorway,15,2023-03-27,3034.714285714286
motorway,15,2023-03-29,3566.6
motorway,15,2023-04-17,2411.5
motorway,15,2023-04-18,2646.6363636363635
motorway,15,2023-04-19,3266.5
motorway,15,2023-04-20,2868.8333333333335
motorway,15,2023-04-21,2917.909090909091
motorway,15,2023-04-24,3712.5
motorway,15,2023-04-25,3007.4166666666665
motorway,15,2023-04-26,3085.8
motorway,15,2023-04-27,3863.5714285714284
motorway,15,2023-04-28,2887.25
motorway,15,2023-05-02,4380.5
motorway,15,2023-05-03,3879.6
motorway,15,2023-05-04,3322.5
motorway,15,2023-05-05,3609.5
motorway,15,2023-05-09,2431.0
motorway,15,2023-05-10,2453.0
motorway,15,2023-05-11,3355.214285714286
motorway,15,2023-05-15,3062.6666666666665
motorway,15,2023-05-16,3292.75
motorway,15,2023-05-17,2702.1
motorway,15,2023-05-18,3062.1666666666665
motorway,15,2023-05-19,4077.5
motorway,15,2023-05-22,2383.3333333333335
motorway,15,2023-05-23,4094.25
motorway,15,2023-05-24,3519.4166666666665
motorway,15,2023-05-25,4622.0
motorway,15,2023-05-26,4260.333333333333
motorway,15,2023-06-05,3347.5
motorway,15,2023-06-06,3419.5
motorway,15,2023-06-07,3678.5555555555557
motorway,15,2023-06-09,4433.0
motorway,15,2023-06-12,3797.3333333333335
motorway,15,2023-06-13,5070.0
motorway,15,2023-06-14,3683.0
motorway,15,2023-06-15,3090.6666666666665
motorway,15,2023-06-16,4497.7
motorway,15,2023-06-19,2228.25
motorway,15,2023-06-20,3114.625
motorway,15,2023-06-21,3575.0
motorway,15,2023-06-22,2931.4
motorway,15,2023-06-23,3465.5
motorway,15,2023-06-26,2270.25
motorway,15,2023-06-27,4216.75
motorway,15,2023-06-28,3361.5
motorway,15,2023-06-30,1920.5
motorway,15,2023-07-03,3929.25
motorway,15,2023-07-04,3283.375
